id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra,ventas_total,transacciones,items_total,ticket_prom
1,38,Femenino,99342,90,3,24,Alimentos,11353,63.2,1,3,63.2
2,21,Femenino,78852,60,2,42,Deportes,4193,94,1,3,94
3,60,Femenino,126573,30,2,28,Ropa,42436,65.2,1,4,65.2
4,40,Femenino,47099,74,9,5,Hogar,99193,53.6,1,5,53.6
5,65,Femenino,140621,21,3,25,Electrónica,34708,31.6,1,1,31.6
6,31,Femenino,57305,24,3,30,Hogar,8685,63.64,1,3,63.64
7,19,Femenino,54319,68,5,43,Ropa,19172,176.62,1,6,176.62
8,43,Masculino,108115,94,9,27,Alimentos,73456,71.4,1,2,71.4
9,53,Masculino,34424,29,6,7,Deportes,95171,39.5,1,2,39.5
10,55,Femenino,45839,55,7,2,Electrónica,82118,63.2,1,2,63.2
11,23,Femenino,69659,16,7,24,Ropa,43497,46,1,3,46
12,68,Femenino,30058,91,1,49,Alimentos,88994,22.5,1,1,22.5
13,29,Femenino,87461,81,3,27,Hogar,10107,155.32,1,5,155.32
14,64,Femenino,33018,46,4,3,Deportes,22135,111.14,1,4,111.14
15,33,Masculino,112260,17,5,8,Hogar,91589,39,1,2,39
16,53,Masculino,129284,17,6,26,Ropa,2254,28.44,1,1,28.44
17,57,Masculino,102535,29,5,13,Ropa,37847,287.59,1,10,287.59
18,22,Masculino,41849,22,1,31,Deportes,84408,100.4,1,5,100.4
19,37,Masculino,95491,90,6,21,Hogar,45483,37.5,1,2,37.5
20,31,Masculino,97103,70,3,17,Alimentos,613,25,1,1,25
21,19,Femenino,82519,13,4,4,Hogar,74239,94,1,3,94
22,22,Masculino,49077,74,10,47,Hogar,79931,70.82,1,4,70.82
23,36,Femenino,85473,68,1,16,Deportes,80655,39.6,1,1,39.6
24,41,Femenino,81758,87,7,9,Ropa,4822,19.5,1,4,19.5
25,69,Femenino,36140,78,5,39,Deportes,50886,74,1,2,74
26,33,Femenino,141757,60,10,39,Alimentos,8327,31.6,1,1,31.6
27,54,Masculino,35394,10,9,4,Alimentos,12429,229.5,1,17,229.5
28,30,Femenino,50680,19,7,27,Deportes,51588,78,1,2,78
29,18,Femenino,70721,78,7,1,Hogar,1919,69,1,1,69
30,23,Masculino,104106,30,4,20,Electrónica,95056,22.42,1,1,22.42
31,36,Femenino,76756,16,8,27,Ropa,97006,44.5,1,1,44.5
32,60,Femenino,45733,69,2,18,Electrónica,19729,123.1,1,6,123.1
33,29,Masculino,71951,2,6,47,Electrónica,9194,57.6,1,6,57.6
34,44,Femenino,86593,89,4,37,Alimentos,7695,58,1,1,58
35,45,Femenino,43138,54,10,48,Deportes,63922,75,1,1,75
36,30,Femenino,73464,37,1,6,Ropa,53251,95.2,1,4,95.2
37,47,Masculino,108074,78,4,38,Electrónica,1282,45.22,1,2,45.22
38,48,Femenino,81794,89,7,50,Electrónica,96799,54.5,1,3,54.5
39,31,Femenino,75392,43,4,29,Deportes,8844,18,1,1,18
40,22,Masculino,107057,14,5,41,Hogar,9886,70.82,1,4,70.82
41,23,Masculino,70723,31,1,48,Hogar,71333,107,1,4,107
42,52,Masculino,115529,70,2,34,Ropa,19266,22.5,1,1,22.5
43,35,Masculino,72179,6,6,45,Hogar,16518,108.8,1,1,108.8
44,28,Femenino,62405,79,5,50,Hogar,95673,78,1,2,78
45,50,Masculino,42404,45,4,31,Hogar,7536,145.2,1,9,145.2
46,49,Femenino,94531,28,5,42,Ropa,21493,47.6,1,2,47.6
47,56,Masculino,129005,40,6,8,Electrónica,35534,13.23,1,5,13.23
48,48,Masculino,76317,94,9,3,Electrónica,18928,160.4,1,9,160.4
49,19,Femenino,85309,65,5,10,Deportes,2855,144,1,6,144
50,68,Femenino,146519,96,2,18,Alimentos,67379,39.5,1,1,39.5
51,61,Femenino,61290,83,9,35,Ropa,11032,123.5,1,2,123.5
52,24,Femenino,96082,83,4,36,Deportes,58935,58.5,1,4,58.5
53,45,Femenino,134241,73,9,16,Alimentos,89344,44.8,1,6,44.8
54,33,Femenino,45136,84,9,38,Hogar,33234,95.05,1,8,95.05
55,56,Femenino,85476,55,2,41,Deportes,7745,176.62,1,6,176.62
56,42,Femenino,73466,50,4,13,Deportes,90307,71.4,1,2,71.4
57,63,Femenino,49607,7,9,20,Electrónica,19534,58,1,1,58
58,49,Femenino,112198,48,5,24,Deportes,84387,39,1,2,39
59,43,Femenino,81595,12,7,1,Electrónica,80626,29.5,1,1,29.5
