marca,producto,tipo_codigo,tipo,origen_codigo,origen,pais,alcohol,calorias,porcion,presentacion,precio
Marca_G05,Cerveza_001,2,clara artesanal,1,nacional,Colombia,5.9,119,330,500,4.09
Marca_U81,Cerveza_002,1,lager artesanal,1,nacional,Colombia,4.8,180,330,473,3.65
Marca_E70,Cerveza_003,4,cerveza normal y helada,1,nacional,Colombia,4.9,126,330,330,1.07
Marca_R92,Cerveza_004,1,lager artesanal,1,nacional,Colombia,6.3,133,330,269,3.72
Marca_L39,Cerveza_005,1,lager artesanal,1,nacional,Colombia,4.7,178,330,473,8.16
Marca_O37,Cerveza_006,2,clara artesanal,1,nacional,Colombia,6.2,120,330,500,4.96
Marca_V10,Cerveza_007,4,cerveza normal y helada,1,nacional,Colombia,4.8,141,330,355,1.24
Marca_O09,Cerveza_008,4,cerveza normal y helada,1,nacional,Colombia,5.3,160,330,355,2.59
Marca_V58,Cerveza_009,4,cerveza normal y helada,2,importada,Japón,5.0,128,330,269,2.28
Marca_G99,Cerveza_010,2,clara artesanal,1,nacional,Colombia,5.9,112,330,473,5.25
Marca_E56,Cerveza_011,2,clara artesanal,2,importada,Brasil,5.2,173,330,269,2.6
Marca_F20,Cerveza_012,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.5,45,330,750,8.95
Marca_T73,Cerveza_013,2,clara artesanal,1,nacional,Colombia,5.5,133,330,355,3.31
Marca_Z72,Cerveza_014,2,clara artesanal,1,nacional,Colombia,6.4,116,330,473,9.41
Marca_O21,Cerveza_015,3,lager importada,2,importada,Brasil,5.3,181,330,750,9.15
Marca_G79,Cerveza_016,1,lager artesanal,1,nacional,Colombia,4.5,129,330,500,3.45
Marca_O62,Cerveza_017,3,lager importada,2,importada,República Checa,6.4,166,330,473,5.12
Marca_A27,Cerveza_018,3,lager importada,2,importada,Alemania,4.8,163,330,750,8.35
Marca_C90,Cerveza_019,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,69,330,269,2.76
Marca_H79,Cerveza_020,4,cerveza normal y helada,1,nacional,Colombia,5.4,165,330,330,2.06
Marca_X04,Cerveza_021,4,cerveza normal y helada,2,importada,Reino Unido,5.2,171,330,750,6.44
Marca_X45,Cerveza_022,5,baja en calorías / sin alcohol,2,importada,Japón,0.0,24,330,750,8.2
Marca_T01,Cerveza_023,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,13,330,330,2.45
Marca_G62,Cerveza_024,3,lager importada,2,importada,Perú,6.1,130,330,750,6.85
Marca_M96,Cerveza_025,5,baja en calorías / sin alcohol,1,nacional,Colombia,2.0,42,330,269,3.12
Marca_T77,Cerveza_026,5,baja en calorías / sin alcohol,2,importada,Países Bajos,0.0,3,330,330,3.59
Marca_X84,Cerveza_027,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,19,330,500,4.01
Marca_Y76,Cerveza_028,1,lager artesanal,2,importada,España,5.3,134,330,330,2.48
Marca_Q54,Cerveza_029,2,clara artesanal,1,nacional,Colombia,6.4,117,330,750,8.19
Marca_A20,Cerveza_030,4,cerveza normal y helada,2,importada,España,4.8,187,330,500,1.69
Marca_Y14,Cerveza_031,1,lager artesanal,1,nacional,Colombia,6.1,117,330,355,5.36
Marca_Y09,Cerveza_032,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,35,330,269,2.87
Marca_W67,Cerveza_033,3,lager importada,2,importada,Reino Unido,5.9,177,330,500,7.4
Marca_C86,Cerveza_034,5,baja en calorías / sin alcohol,2,importada,República Checa,1.5,25,330,473,2.29
Marca_I18,Cerveza_035,2,clara artesanal,1,nacional,Colombia,5.9,125,330,330,6.08
Marca_W56,Cerveza_036,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,50,330,473,2.21
Marca_R59,Cerveza_037,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.5,25,330,355,2.13
Marca_Z30,Cerveza_038,3,lager importada,2,importada,México,5.3,186,330,500,5.89
Marca_N87,Cerveza_039,5,baja en calorías / sin alcohol,1,nacional,Colombia,0.0,34,330,269,3.11
Marca_Z89,Cerveza_040,4,cerveza normal y helada,1,nacional,Colombia,4.2,185,330,500,2.73
Marca_D59,Cerveza_041,2,clara artesanal,2,importada,República Checa,6.6,121,330,355,3.27
Marca_D21,Cerveza_042,1,lager artesanal,2,importada,Canadá,6.6,144,330,500,4.69
Marca_F35,Cerveza_043,2,clara artesanal,1,nacional,Colombia,6.6,149,330,500,7.69
