id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra
1,38,Femenino,99342,90,3,24,Alimentos,11353
2,21,Femenino,78852,60,2,42,Deportes,4193
3,60,Femenino,126573,30,2,28,Ropa,42436
4,40,Femenino,47099,74,9,5,Hogar,99193
5,65,Femenino,140621,21,3,25,Electrónica,34708
6,31,Femenino,57305,24,3,30,Hogar,8685
7,19,Femenino,54319,68,5,43,Ropa,19172
8,43,Masculino,108115,94,9,27,Alimentos,73456
9,53,Masculino,34424,29,6,7,Deportes,95171
10,55,Femenino,45839,55,7,2,Electrónica,82118
11,23,Femenino,69659,16,7,24,Ropa,43497
12,68,Femenino,30058,91,1,49,Alimentos,88994
13,29,Femenino,87461,81,3,27,Hogar,10107
14,64,Femenino,33018,46,4,3,Deportes,22135
15,33,Masculino,112260,17,5,8,Hogar,91589
16,53,Masculino,129284,17,6,26,Ropa,2254
17,57,Masculino,102535,29,5,13,Ropa,37847
18,22,Masculino,41849,22,1,31,Deportes,84408
19,37,Masculino,95491,90,6,21,Hogar,45483
20,31,Masculino,97103,70,3,17,Alimentos,613
21,19,Femenino,82519,13,4,4,Hogar,74239
22,22,Masculino,49077,74,10,47,Hogar,79931
23,36,Femenino,85473,68,1,16,Deportes,80655
24,41,Femenino,81758,87,7,9,Ropa,4822
25,69,Femenino,36140,78,5,39,Deportes,50886
26,33,Femenino,141757,60,10,39,Alimentos,8327
27,54,Masculino,35394,10,9,4,Alimentos,12429
28,30,Femenino,50680,19,7,27,Deportes,51588
29,18,Femenino,70721,78,7,1,Hogar,1919
30,23,Masculino,104106,30,4,20,Electrónica,95056
31,36,Femenino,76756,16,8,27,Ropa,97006
32,60,Femenino,45733,69,2,18,Electrónica,19729
33,29,Masculino,71951,2,6,47,Electrónica,9194
34,44,Femenino,86593,89,4,37,Alimentos,7695
35,45,Femenino,43138,54,10,48,Deportes,63922
36,30,Femenino,73464,37,1,6,Ropa,53251
37,47,Masculino,108074,78,4,38,Electrónica,1282
38,48,Femenino,81794,89,7,50,Electrónica,96799
39,31,Femenino,75392,43,4,29,Deportes,8844
40,22,Masculino,107057,14,5,41,Hogar,9886
41,23,Masculino,70723,31,1,48,Hogar,71333
42,52,Masculino,115529,70,2,34,Ropa,19266
43,35,Masculino,72179,6,6,45,Hogar,16518
44,28,Femenino,62405,79,5,50,Hogar,95673
45,50,Masculino,42404,45,4,31,Hogar,7536
46,49,Femenino,94531,28,5,42,Ropa,21493
47,56,Masculino,129005,40,6,8,Electrónica,35534
48,48,Masculino,76317,94,9,3,Electrónica,18928
49,19,Femenino,85309,65,5,10,Deportes,2855
50,68,Femenino,146519,96,2,18,Alimentos,67379
51,61,Femenino,61290,83,9,35,Ropa,11032
52,24,Femenino,96082,83,4,36,Deportes,58935
53,45,Femenino,134241,73,9,16,Alimentos,89344
54,33,Femenino,45136,84,9,38,Hogar,33234
55,56,Femenino,85476,55,2,41,Deportes,7745
56,42,Femenino,73466,50,4,13,Deportes,90307
57,63,Femenino,49607,7,9,20,Electrónica,19534
58,49,Femenino,112198,48,5,24,Deportes,84387
59,43,Femenino,81595,12,7,1,Electrónica,80626
60,21,Femenino,139387,1,5,7,Ropa,39958
61,23,Masculino,69133,14,6,7,Alimentos,22486
62,30,Femenino,89149,87,10,36,Ropa,17441
63,49,Femenino,79992,49,8,6,Deportes,63665
64,50,Femenino,85111,31,1,19,Electrónica,31905
65,27,Femenino,90557,36,2,2,Deportes,49455
66,32,Masculino,100270,69,3,29,Hogar,68605
