id,edad_cliente,genero_cliente,ingresos,puntos,tiempo_membresia,num_compras,categoria_preferida,ultima_compra
1,38,Femenino,99917,100,4,50,Alimentos,22562
2,21,Femenino,44040,43,1,18,Deportes,30352
3,60,Femenino,139129,100,4,50,Ropa,45039
4,40,Femenino,109840,97,8,50,Hogar,60824
5,65,Femenino,119441,100,6,50,Electrónica,85447
6,31,Femenino,69180,97,3,50,Hogar,28319
7,19,Femenino,48451,56,4,35,Ropa,23810
8,43,Masculino,105954,100,7,50,Alimentos,28515
9,53,Masculino,125149,100,7,50,Deportes,33931
10,55,Femenino,118823,100,8,50,Electrónica,85455
11,23,Femenino,67215,100,3,49,Ropa,27835
12,68,Femenino,146175,100,6,50,Alimentos,35599
13,29,Femenino,76394,95,2,50,Hogar,35998
14,64,Femenino,146320,100,4,50,Deportes,53898
15,33,Masculino,91508,100,3,50,Hogar,36984
16,53,Masculino,117566,100,5,50,Ropa,38201
17,57,Masculino,133819,100,6,50,Ropa,54423
18,22,Masculino,49245,58,1,24,Deportes,30298
19,37,Masculino,104406,100,5,50,Hogar,38612
20,31,Masculino,81951,83,4,50,Alimentos,16548
21,19,Femenino,45636,48,3,28,Hogar,32833
22,22,Masculino,51747,100,7,43,Hogar,34953
23,36,Femenino,103778,100,3,50,Deportes,21213
24,41,Femenino,102009,100,7,50,Ropa,26490
25,69,Femenino,135945,100,4,50,Deportes,33156
26,33,Femenino,82631,100,7,50,Alimentos,12921
27,54,Masculino,131466,100,5,50,Alimentos,24795
28,30,Femenino,81664,92,5,50,Deportes,31887
29,18,Femenino,47890,67,4,35,Hogar,29720
30,23,Masculino,64677,100,4,50,Electrónica,61774
31,36,Femenino,112050,100,8,50,Ropa,32108
32,60,Femenino,128717,100,5,50,Electrónica,73415
33,29,Masculino,72690,92,4,50,Electrónica,66418
34,44,Femenino,101851,100,5,50,Alimentos,26415
35,45,Femenino,116544,100,7,50,Deportes,32677
36,30,Femenino,88536,100,2,50,Ropa,30212
37,47,Masculino,114974,100,6,50,Electrónica,89767
38,48,Femenino,108614,100,6,50,Electrónica,72737
39,31,Femenino,73480,98,5,50,Deportes,20643
40,22,Masculino,63730,100,4,50,Hogar,28957
41,23,Masculino,67489,100,1,50,Hogar,28714
42,52,Masculino,128763,100,5,50,Ropa,40600
43,35,Masculino,86010,99,6,50,Hogar,37259
44,28,Femenino,75264,99,4,50,Hogar,22816
45,50,Masculino,121925,100,4,50,Hogar,37291
46,49,Femenino,119768,100,4,50,Ropa,37471
47,56,Masculino,137118,100,6,50,Electrónica,78490
48,48,Masculino,119687,100,8,50,Electrónica,73534
49,19,Femenino,53410,80,2,35,Deportes,20978
50,68,Femenino,139783,100,6,50,Alimentos,32709
51,61,Femenino,136002,100,7,50,Ropa,51607
52,24,Femenino,67857,90,3,49,Deportes,21762
53,45,Femenino,97886,100,8,50,Alimentos,27100
54,33,Femenino,82923,100,9,50,Hogar,35952
55,56,Femenino,123542,97,3,50,Deportes,39419
56,42,Femenino,99625,97,6,50,Deportes,35350
57,63,Femenino,132824,100,9,50,Electrónica,87685
58,49,Femenino,131254,100,6,50,Deportes,45245
59,43,Femenino,99508,100,6,50,Electrónica,74814
60,21,Femenino,62115,95,4,47,Ropa,25000
61,23,Masculino,45654,74,4,28,Alimentos,16185
62,30,Femenino,75361,100,9,50,Ropa,40388
63,49,Femenino,119265,100,7,50,Deportes,33832
64,50,Femenino,124651,100,5,50,Electrónica,71280
65,27,Femenino,76901,94,1,50,Deportes,23580
66,32,Masculino,92015,100,3,50,Hogar,38815
67,36,Femenino,89636,100,3,50,Electrónica,59573
68,43,Femenino,103139,100,8,50,Ropa,38034
69,32,Masculino,92597,100,6,50,Electrónica,68389
70,49,Femenino,116078,100,8,50,Deportes,23131
71,23,Femenino,47819,53,1,22,Electrónica,60248
72,58,Femenino,119975,100,4,50,Alimentos,24464
73,31,Femenino,72625,84,2,50,Alimentos,11170
74,38,Femenino,101649,100,4,50,Hogar,49114
75,58,Femenino,131457,100,7,50,Alimentos,22789
76,60,Femenino,138589,100,8,50,Hogar,46225
77,49,Masculino,115455,100,5,50,Alimentos,7204
78,32,Femenino,84802,98,9,50,Ropa,31825
79,30,Otro,84005,87,2,50,Alimentos,12232
80,68,Otro,136391,100,8,50,Electrónica,77904
81,65,Otro,141111,100,9,50,Electrónica,91352
82,36,Femenino,86818,88,2,50,Alimentos,21695
83,36,Femenino,89508,100,7,50,Deportes,31856
84,56,Masculino,125839,100,8,50,Electrónica,76367
85,19,Masculino,38037,41,2,22,Ropa,32640
86,31,Otro,85283,100,4,50,Hogar,35167
87,59,Masculino,128575,99,7,50,Hogar,42885
88,31,Masculino,82512,93,3,50,Deportes,13632
89,18,Otro,48502,79,5,35,Ropa,23959
90,45,Otro,115019,100,4,50,Hogar,47668
91,32,Otro,89363,100,1,50,Hogar,49213
92,39,Otro,98414,99,5,50,Hogar,39863
93,65,Masculino,134690,100,9,50,Electrónica,76712
94,46,Otro,112058,100,8,50,Ropa,32386
95,30,Otro,63189,100,6,50,Deportes,27909
96,23,Masculino,47776,99,8,49,Ropa,13323
97,63,Otro,123396,100,10,50,Electrónica,84232
98,49,Masculino,110325,100,8,50,Ropa,45992
99,21,Otro,56998,91,3,34,Deportes,27425
100,26,Femenino,59626,100,4,50,Ropa,22659
101,40,Femenino,97972,96,5,50,Alimentos,25281
102,18,Masculino,57368,89,5,44,Alimentos,14656
103,19,Masculino,45594,80,5,32,Ropa,21809
104,60,Femenino,139013,100,5,50,Deportes,54051
105,20,Otro,41972,36,1,18,Ropa,24132
106,55,Femenino,124651,100,8,50,Electrónica,84109
107,19,Otro,38750,56,2,23,Deportes,5396
108,65,Masculino,135449,100,8,50,Hogar,60185
109,57,Femenino,136563,100,9,50,Electrónica,92796
110,56,Femenino,112229,100,8,50,Hogar,45930
111,37,Masculino,100410,100,6,50,Deportes,36819
112,64,Masculino,139815,100,7,50,Ropa,50199
113,58,Masculino,126328,100,6,50,Alimentos,24579
114,32,Masculino,71860,100,4,50,Deportes,27939
115,64,Masculino,138324,100,7,50,Electrónica,75274
116,59,Masculino,128035,100,7,50,Hogar,44223
117,62,Masculino,137969,100,7,50,Electrónica,88738
118,62,Masculino,136072,100,8,50,Hogar,58221
119,33,Masculino,101716,100,6,50,Alimentos,18273
120,68,Femenino,137021,91,4,50,Ropa,37489
121,47,Femenino,105289,100,6,50,Alimentos,19550
122,43,Masculino,110413,100,6,50,Electrónica,78417
123,26,Otro,69755,100,5,50,Deportes,17608
124,30,Masculino,92108,100,5,50,Hogar,40427
125,66,Otro,145291,100,4,50,Ropa,49821
126,26,Femenino,70987,100,6,50,Electrónica,63284
127,58,Masculino,144845,100,8,50,Deportes,52557
128,40,Otro,90676,100,7,50,Electrónica,67459
129,67,Otro,132742,97,4,50,Deportes,37108
130,61,Femenino,125061,100,5,50,Ropa,33936
131,51,Masculino,118892,100,7,50,Deportes,45428
132,67,Femenino,126110,100,9,50,Hogar,44661
133,25,Otro,70716,100,5,50,Alimentos,17286
