Cliente,ventas_total,transacciones,items_total,ticket_prom
1,88.87,1,5,88.87
2,27.49,1,2,27.49
3,19.98,1,1,19.98
4,305.84,1,13,305.84
5,74.85,1,3,74.85
6,91.77,1,4,91.77
7,99.75,1,5,99.75
8,146.42,1,6,146.42
9,168.05,1,7,168.05
10,80.25,1,4,80.25
11,178.11,1,9,178.11
12,251.97,1,10,251.97
13,133.68,1,5,133.68
14,55.19,1,4,55.19
15,265.41,1,10,265.41
16,100.42,1,5,100.42
17,140.83,1,7,140.83
18,113.08,1,6,113.08
19,234.1,1,10,234.1
20,159.26,1,6,159.26
21,10,1,1,10
22,167.22,1,8,167.22
23,177.15,1,8,177.15
24,145.22,1,7,145.22
25,318.27,1,12,318.27
26,121.88,1,7,121.88
27,34,1,2,34
28,306.09,1,13,306.09
29,27.48,1,1,27.48
30,220.37,1,9,220.37
31,180.43,1,6,180.43
32,356.26,1,13,356.26
33,241.44,1,10,241.44
34,380,1,14,380
35,265.3,1,8,265.3
36,188.53,1,10,188.53
37,179.98,1,7,179.98
38,231.3,1,8,231.3
39,261.68,1,11,261.68
40,222.83,1,9,222.83
41,336.01,1,10,336.01
42,241.86,1,8,241.86
43,124.61,1,5,124.61
44,151.64,1,9,151.64
45,178.61,1,9,178.61
46,159.84,1,7,159.84
47,290.29,1,14,290.29
48,65.43,1,4,65.43
49,380,1,17,380
50,380,1,18,380
51,380,1,16,380
52,201.94,1,9,201.94
53,117.15,1,6,117.15
54,243.17,1,11,243.17
55,114.9,1,5,114.9
56,70.86,1,5,70.86
57,301.89,1,9,301.89
58,341.5,1,11,341.5
59,380,1,15,380
60,76.77,1,5,76.77
61,156.9,1,6,156.9
62,148.17,1,7,148.17
63,16.54,1,2,16.54
64,98.24,1,4,98.24
65,15.57,1,1,15.57
66,338.7,1,14,338.7
67,124.2,1,7,124.2
68,37.89,1,4,37.89
69,131.2,1,5,131.2
70,201.53,1,9,201.53
71,90.21,1,3,90.21
72,276.86,1,9,276.86
73,322.56,1,15,322.56
74,72.93,1,3,72.93
75,302.89,1,12,302.89
76,111.8,1,6,111.8
77,168.89,1,8,168.89
78,153.09,1,6,153.09
79,325.52,1,14,325.52
80,90.94,1,4,90.94
81,330.53,1,12,330.53
82,105.65,1,5,105.65
83,130.11,1,6,130.11
84,287.82,1,12,287.82
85,282.61,1,10,282.61
86,78.51,1,3,78.51
87,55.57,1,3,55.57
88,318.69,1,11,318.69
89,73.52,1,4,73.52
90,213.27,1,10,213.27
91,107.06,1,5,107.06
92,34.06,1,2,34.06
93,73.49,1,3,73.49
94,167.03,1,6,167.03
95,272.21,1,9,272.21
96,243.09,1,12,243.09
97,120.1,1,6,120.1
98,158.76,1,6,158.76
99,128.93,1,5,128.93
100,159.77,1,5,159.77
101,44.56,1,1,44.56
102,185.18,1,9,185.18
103,128.48,1,6,128.48
104,182.81,1,7,182.81
105,174.87,1,9,174.87
106,99.84,1,4,99.84
107,186.88,1,8,186.88
108,84.82,1,7,84.82
109,193.9,1,9,193.9
110,140.45,1,8,140.45
111,130.67,1,6,130.67
112,61.18,1,1,61.18
113,109.65,1,5,109.65
114,185.96,1,8,185.96
115,137,1,5,137
116,326.42,1,13,326.42
117,86.86,1,5,86.86
118,176.84,1,8,176.84
119,247.76,1,10,247.76
120,127.9,1,6,127.9
121,203.81,1,9,203.81
122,118.58,1,6,118.58
123,111.22,1,4,111.22
124,113.81,1,6,113.81
125,232.85,1,11,232.85
126,296.12,1,13,296.12
127,186.37,1,9,186.37
128,227.5,1,10,227.5
129,159.82,1,7,159.82
130,76.47,1,3,76.47
131,29.65,1,1,29.65
132,23.46,1,1,23.46
133,209.71,1,10,209.71
134,167.3,1,7,167.3
135,77.61,1,4,77.61
136,310.6,1,15,310.6
137,249.57,1,11,249.57
138,356.59,1,14,356.59
139,48.74,1,3,48.74
140,14.66,1,1,14.66
141,185.77,1,10,185.77
142,71.86,1,3,71.86
143,144.63,1,7,144.63
144,292.16,1,10,292.16
145,50.25,1,2,50.25
146,222.51,1,11,222.51
147,257.1,1,9,257.1
148,173.36,1,8,173.36
149,196.35,1,11,196.35
150,150.6,1,7,150.6
151,212.02,1,7,212.02
152,309.66,1,11,309.66
153,333.91,1,11,333.91
154,30.21,1,2,30.21
155,229.33,1,10,229.33
156,15.01,1,1,15.01
157,232.85,1,9,232.85
158,14.04,1,1,14.04
159,106.98,1,6,106.98
160,270.56,1,11,270.56
161,341.87,1,10,341.87
162,379.48,1,17,379.48
163,232.67,1,12,232.67
164,107.7,1,5,107.7
165,380,1,16,380
166,228.39,1,8,228.39
167,358.06,1,14,358.06
168,189.24,1,8,189.24
169,65.89,1,3,65.89
170,166.37,1,9,166.37
171,140.58,1,7,140.58
172,140.27,1,7,140.27
173,49.59,1,3,49.59
174,262.52,1,10,262.52
175,224.35,1,7,224.35
176,30.49,1,2,30.49
177,194.56,1,8,194.56
178,322.05,1,9,322.05
179,181.57,1,8,181.57
180,337.06,1,14,337.06
181,380,1,12,380
182,143.36,1,7,143.36
183,215.51,1,12,215.51
184,212.9,1,8,212.9
185,288.45,1,10,288.45
186,170.61,1,8,170.61
187,362.16,1,14,362.16
188,302.67,1,11,302.67
189,31.62,1,1,31.62
190,322.7,1,11,322.7
191,193.98,1,8,193.98
192,146.18,1,8,146.18
193,157.58,1,9,157.58
194,170.33,1,7,170.33
195,150.15,1,7,150.15
196,79.89,1,4,79.89
197,93.46,1,4,93.46
198,239.97,1,10,239.97
199,214.89,1,9,214.89
200,143.39,1,7,143.39
